person_key,event_name,gender,times,dates
51874,200 IM (SCY),F,"['128.49', '126.3', '126.02', '122.68']","['20121109', '20131122', '20141114', '20170223']"
51874,200 BR (SCY),F,"['148.34', '144.6', '142.12', '148.11']","['20130201', '20131122', '20141122', '20161022']"
51874,100 BR (SCY),F,"['66.51', '66.59', '65.97', '69.48']","['20121109', '20131115', '20141114', '20161022']"
51874,400 IM (SCY),F,"['277.58', '275.88', '275.02', '260.68']","['20130201', '20140131', '20141122', '20170224']"
52125,200 IM (SCY),M,"['125.26', '124.24', '121.41', '120.0']","['20140313', '20150301', '20160218', '20180216']"
54624,50 FR (SCY),F,"['26.16', '26.04', '26.22', '25.15']","['20121207', '20140117', '20150111', '20161203']"
54624,100 FR (SCY),F,"['55.97', '55.84', '57.19', '53.95']","['20121207', '20140131', '20150110', '20161204']"
55121,100 BK (SCY),M,"['58.37', '53.92', '55.64', '48.78']","['20130118', '20140227', '20150117', '20170211']"
55121,200 IM (SCY),M,"['124.83', '116.19', '118.37', '110.83']","['20130118', '20140214', '20150228', '20161208']"
55121,100 FL (SCY),M,"['57.91', '53.48', '51.22', '48.48']","['20130118', '20140227', '20150213', '20170210']"
55121,200 BK (SCY),M,"['123.12', '117.42', '114.72', '115.55']","['20130118', '20140117', '20150301', '20170115']"
57632,100 BR (SCY),F,"['65.98', '65.99', '63.59', '62.0', '63.33', '65.99', '63.59', '65.65', '65.98', '63.23', '63.59', '65.65', '65.98', '65.99', '63.59', '65.65', '65.98', '63.23', '63.59', '62.0', '63.33', '65.99', '63.59', '62.0', '63.33', '63.23', '63.59', '62.0', '63.33', '63.23', '63.59', '65.65']","['20131109', '20140306', '20141120', '20170322', '20130228', '20140306', '20141120', '20171027', '20131109', '20141115', '20141120', '20171027', '20131109', '20140306', '20141120', '20171027', '20131109', '20141115', '20141120', '20170322', '20130228', '20140306', '20141120', '20170322', '20130228', '20141115', '20141120', '20170322', '20130228', '20141115', '20141120', '20171027']"
57632,100 FL (SCY),F,"['58.85', '59.89', '57.69', '56.21', '59.04', '59.89', '57.69', '56.21']","['20130228', '20140306', '20141120', '20170324', '20131109', '20140306', '20141120', '20170324']"
57632,400 IM (SCY),F,"['276.99', '281.53', '287.51', '279.37']","['20130228', '20140207', '20150116', '20170127']"
57632,200 BR (SCY),F,"['139.04', '142.8', '140.27', '145.17', '139.04', '142.8', '140.27', '134.79']","['20130228', '20140318', '20141121', '20171027', '20130228', '20140318', '20141121', '20170325']"
57632,200 IM (SCY),F,"['127.99', '131.31', '129.33', '127.54', '127.99', '131.31', '129.33', '133.13']","['20130228', '20140318', '20150325', '20170322', '20130228', '20140318', '20150325', '20171006']"
57805,200 FR (SCY),F,"['118.71', '112.54', '114.63', '113.12', '118.71', '113.6', '114.63', '113.12']","['20150103', '20151206', '20170303', '20180510', '20150103', '20150506', '20170303', '20180510']"
57805,500 FR (SCY),F,"['313.68', '301.89', '304.63', '301.3']","['20150117', '20151219', '20161217', '20180510']"
57805,50 FR (SCY),F,"['26.07', '24.83', '25.47', '25.07', '26.07', '25.16', '25.47', '25.07']","['20150118', '20160227', '20161218', '20180504', '20150118', '20150508', '20161218', '20180504']"
58599,1650 FR (SCY),M,"['1053.57', '1020.55', '989.84', '951.33']","['20130307', '20140320', '20150329', '20170219']"
58599,500 FR (SCY),M,"['300.77', '291.44', '285.19', '271.56']","['20130307', '20140228', '20150328', '20170217']"
58599,1000 FR (SCY),M,"['632.28', '605.32', '595.1', '589.3']","['20130307', '20140320', '20150326', '20170201']"
58599,200 FR (SCY),M,"['113.39', '108.74', '104.12', '98.53']","['20130307', '20140228', '20150327', '20170316']"
58599,100 FR (SCY),M,"['52.97', '51.28', '48.67', '45.54']","['20130307', '20140301', '20141214', '20161202']"
58940,200 FR (SCY),F,"['121.63', '115.97', '115.98', '114.1', '121.63', '120.35', '117.05', '117.17', '117.56', '115.97', '117.05', '114.1', '121.63', '115.97', '117.05', '117.17', '117.56', '120.35', '117.05', '114.1', '121.63', '120.35', '117.05', '114.1', '117.56', '120.35', '115.98', '114.1', '117.56', '115.97', '115.98', '114.1', '117.56', '120.35', '115.98', '117.17', '117.56', '120.35', '117.05', '117.17', '121.63', '115.97', '117.05', '114.1', '121.63', '115.97', '115.98', '117.17', '117.56', '115.97', '115.98', '117.17', '117.56', '115.97', '117.05', '117.17', '121.63', '120.35', '115.98', '114.1', '121.63', '120.35', '115.98', '117.17']","['20131109', '20141205', '20151204', '20170324', '20131109', '20140117', '20150327', '20171111', '20130301', '20141205', '20150327', '20170324', '20131109', '20141205', '20150327', '20171111', '20130301', '20140117', '20150327', '20170324', '20131109', '20140117', '20150327', '20170324', '20130301', '20140117', '20151204', '20170324', '20130301', '20141205', '20151204', '20170324', '20130301', '20140117', '20151204', '20171111', '20130301', '20140117', '20150327', '20171111', '20131109', '20141205', '20150327', '20170324', '20131109', '20141205', '20151204', '20171111', '20130301', '20141205', '20151204', '20171111', '20130301', '20141205', '20150327', '20171111', '20131109', '20140117', '20151204', '20170324', '20131109', '20140117', '20151204', '20171111']"
58940,500 FR (SCY),F,"['319.39', '319.6', '304.35', '318.39', '318.68', '319.6', '319.66', '318.39', '318.68', '319.6', '304.35', '318.39', '319.39', '319.6', '319.66', '318.39', '318.68', '309.35', '304.35', '318.39', '318.68', '309.35', '319.66', '318.39', '319.39', '309.35', '319.66', '318.39', '319.39', '309.35', '304.35', '318.39']","['20130215', '20141206', '20150326', '20170113', '20131109', '20141206', '20151205', '20170113', '20131109', '20141206', '20150326', '20170113', '20130215', '20141206', '20151205', '20170113', '20131109', '20140228', '20150326', '20170113', '20131109', '20140228', '20151205', '20170113', '20130215', '20140228', '20151205', '20170113', '20130215', '20140228', '20150326', '20170113']"
58940,50 FR (SCY),F,"['26.07', '25.17', '25.06', '24.34', '26.07', '25.49', '25.06', '24.34', '26.3', '25.17', '25.06', '24.34', '26.3', '25.49', '25.06', '24.34', '26.3', '25.49', '25.06', '24.84', '26.3', '25.17', '25.06', '24.84', '26.07', '25.17', '25.06', '24.84', '26.07', '25.49', '25.06', '24.84']","['20130301', '20140326', '20150228', '20170321', '20130301', '20141108', '20150228', '20170321', '20131213', '20140326', '20150228', '20170321', '20131213', '20141108', '20150228', '20170321', '20131213', '20141108', '20150228', '20171201', '20131213', '20140326', '20150228', '20171201', '20130301', '20140326', '20150228', '20171201', '20130301', '20141108', '20150228', '20171201']"
58940,200 BK (SCY),F,"['137.65', '126.29', '128.19', '124.27', '137.65', '126.29', '125.98', '124.27']","['20131109', '20141207', '20151206', '20170323', '20131109', '20141207', '20150326', '20170323']"
